claim_id,evidence_path,locator,sha256,depends_on
CORE-THM-001,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,Theorem 1.1; Sections 3–7,288ce3b95d8a46954047fe8570ea3b613f5de6ee959e25dc29d5e4b7d5d9b8cf,
CORE-CERT-001,01_CANONICAL/reverse_hessian/core/certificates/primary_exact_catalecticants.json,complete rank vectors,3c77fe37a78ad9cae65bba73c96f7de725aa1e73238e6384144d609dc3222585,
CORE-LIMIT-001,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,Theorem 1.1; Sections 3–7,288ce3b95d8a46954047fe8570ea3b613f5de6ee959e25dc29d5e4b7d5d9b8cf,
COMP-001,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,COMP-001,9f15d39ac7df827849ba2d36feadfdb199519dca16c461defd47940a797eac94,
COMP-002,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,COMP-002,9f15d39ac7df827849ba2d36feadfdb199519dca16c461defd47940a797eac94,
COMP-003,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,COMP-003,9f15d39ac7df827849ba2d36feadfdb199519dca16c461defd47940a797eac94,
COMP-SYZ-001,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,Tables and conclusions,d9703fb51c22b276d408486f211efac9bff31a78dd766f29058a879652a74ba4,
COMP-SYZ-002,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,Tables and conclusions,d9703fb51c22b276d408486f211efac9bff31a78dd766f29058a879652a74ba4,
COMP-004,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,COMP-004,9f15d39ac7df827849ba2d36feadfdb199519dca16c461defd47940a797eac94,
COMP-005,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,COMP-005,9f15d39ac7df827849ba2d36feadfdb199519dca16c461defd47940a797eac94,
COMP-006,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,COMP-006,9f15d39ac7df827849ba2d36feadfdb199519dca16c461defd47940a797eac94,
COMP-007,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,COMP-007,9f15d39ac7df827849ba2d36feadfdb199519dca16c461defd47940a797eac94,
RANK-001,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,RANK-001,adea49afaa6841359a0b1af9a2a457e06973c39d351c870f2a95b99139938d1c,
RANK-002,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,RANK-002,adea49afaa6841359a0b1af9a2a457e06973c39d351c870f2a95b99139938d1c,
RANK-003,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,RANK-003,adea49afaa6841359a0b1af9a2a457e06973c39d351c870f2a95b99139938d1c,
RANK-004,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,RANK-004,adea49afaa6841359a0b1af9a2a457e06973c39d351c870f2a95b99139938d1c,
ASYM-001,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,ASYM-001,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,
ASYM-002,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,ASYM-002,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,
ASYM-003,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,ASYM-003,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,
ASYM-004,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,ASYM-004,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,
ASYM-005,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,ASYM-005,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,
ASYM-006,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,ASYM-006,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,
JET-001,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,JET-001,3726468c6dc3704db6176815d3ee4b2b2dfbe881072d38c67d46ccdbd9d88fbb,
JET-002,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,JET-002,3726468c6dc3704db6176815d3ee4b2b2dfbe881072d38c67d46ccdbd9d88fbb,
JET-003,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,JET-003,3726468c6dc3704db6176815d3ee4b2b2dfbe881072d38c67d46ccdbd9d88fbb,
JET-004,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,JET-004,3726468c6dc3704db6176815d3ee4b2b2dfbe881072d38c67d46ccdbd9d88fbb,
JET-005,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,JET-005,3726468c6dc3704db6176815d3ee4b2b2dfbe881072d38c67d46ccdbd9d88fbb,
